Mon Sep 30 8:05:06 AM 2024 , RODBC  , 1.3-23  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , sass  , 0.4.9  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , shiny  , 1.9.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , shinyWidgets  , 0.8.6  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , sourcetools  , 0.1.7-1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , survival  , 3.7-0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , tinytex  , 0.53  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , withr  , 3.0.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , xfun  , 0.47  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , xml2  , 1.3.6  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , xmlparsedata  , 1.0.5  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , xtable  , 1.8-4  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , yaml  , 2.3.10  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , base  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , boot  , 1.3-30  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , class  , 7.3-22  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , cluster  , 2.1.6  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , codetools  , 0.2-20  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , compiler  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , datasets  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , foreign  , 0.8-86  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , graphics  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , grDevices  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , grid  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , KernSmooth  , 2.23-24  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , lattice  , 0.22-6  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , MASS  , 7.3-60.2  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , Matrix  , 1.7-0  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
